"Financial Year","Name","Lodged on behalf of","AssociatedParties","Total Receipts","Total Payments","Total Debts","Discretionary Benefits","Capital Contributions"
"2023-24","Australian Services Union Western Australian Branch","","Australian Labor Party (Western Australian Branch); ","3648443","3715494","217683","0","0"
"2023-24","Australian Workers Union SA Branch","","Australian Labor Party (South Australian Branch); ","3040078","2840728","118188","0","0"
"2023-24","Australian Workers Union WA Branch","","Australian Labor Party (Western Australian Branch); ","9818873","9031219","455448","0","0"
"2023-24","Automotive Food Metals Engineering Printing & Kindred Ind. Union","Automotive Food Metals Engineering Printing & Kindred Industries Union WESTERN AUSTRALIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union VICTORIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union TASMANIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union SOUTH AUSTRALIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union QUEENSLAND STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union NSW STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union NATIONAL COUNCIL","Australian Labor Party (N.S.W. Branch); Australian Labor Party (South Australian Branch); Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); Australian Labor Party (State of Queensland); Australian Labor Party (ACT Branch); Australian Labor Party (Northern Territory) Branch; Australian Labor Party (Western Australian Branch); ","64201733","63637741","1113630","0","0"
"2023-24","AWU - Australian Workers Union (Tasmanian Branch)","","Australian Labor Party (Tasmanian Branch); ","1945519","2157626","103138","0","0"
"2023-24","Bass 200 Club","","Liberal Party of Australia (Victorian Division); ","0","140","0","0","0"
"2023-24","BEAN INDEPENDENT PTY LTD","","Jessie Price; ","0","0","0","0","0"
"2023-24","Berwick Ranges 500 Club","","Liberal Party of Australia (Victorian Division); ","33370","15019","0","0","0"
"2023-24","Build Australias Future Limited","","Liberal Party of Australia (Victorian Division); ","45815","46420","0","0","0"
"2023-24","Bunori Pty Limited","","Liberal Party of Australia, NSW Division; ","5442367","5436886","1760062","0","0"
"2023-24","Canberra Labor Club Limited","2.200 Nominees Pty Ltd; S48 Investments Pty Ltd","Australian Labor Party (ACT Branch); ","105323440","106306454","34157248","0","0"
"2023-24","Caulfield Challenge 200 Club","","Liberal Party of Australia (Victorian Division); ","0","2797","0","0","0"
"2023-24","CEC Australia (Services) Pty Ltd","","Australian Citizens Party; ","3087261","3096405","2147116","0","0"
"2023-24","CEPU Communications Division - WA","","Australian Labor Party (Western Australian Branch); ","819631","1336052","0","0","0"
"2023-24","CEPU Electrical, Energy & Services Division - SA Branch","","Australian Labor Party (South Australian Branch); ","2267015","2504021","0","0","0"
"2023-24","CEPU Electrical, Energy and Services Division - Tasmanian Branch","","Australian Labor Party (Tasmanian Branch); ","11408194","11010037","7996819","0","0"
"2023-24","CEPU Engineering & Electrical Division WA Branch","","Australian Labor Party (Western Australian Branch); ","4068319","3834082","141759","0","0"
"2023-24","CEPU P & T Victorian Branch","","Australian Labor Party (Victorian Branch); ","1575590","1609740","0","0","0"
"2023-24","CEPU Plumbing Division - NSW (CEPU of Australia NSW Branch)","","Australian Labor Party (N.S.W. Branch); ","3416642","3019014","228791","0","0"
"2023-24","CEPU Plumbing Division Queensland Branch","CEPU Plumbing Division Queensland Branch","Australian Labor Party (State of Queensland); ","6206326","6045314","370325","0","0"
"2023-24","CEPU Plumbing Division Victoria","","Australian Labor Party (Victorian Branch); ","11408273","10175983","1333563","0","0"
"2023-24","Chinese Liberals Association","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2023-24","Chisholm 200 Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2023-24","CHISIND PTY LTD","","Kathleen Davies; ","0","0","0","0","0"
"2023-24","Citizens Media Group Pty Ltd","","Australian Citizens Party; ","12186","12096","26669","0","0"
"2023-24","CLP Gifts & Legacies Pty Ltd","","Country Liberal Party (NT); ","64854","165204","0","0","0"
"2023-24","Communication Workers Union Central Branch","","Australian Labor Party (N.S.W. Branch); Australian Labor Party (Northern Territory) Branch; Australian Labor Party (South Australian Branch); Australian Labor Party (State of Queensland); ","18921082","15056080","513769","0","0"
"2023-24","Constituent Management Services Pty Ltd","","National Party of Australia - N.S.W.; ","306143","356011","370181","0","0"
"2023-24","Construction Forestry Mining & Energy Union (NSW Branch) Construction & General Division (NSW State Body)","","Australian Labor Party (N.S.W. Branch); ","1340493","1573534","0","0","0"
"2023-24","Cormack Foundation Pty Ltd","","Liberal Party of Australia (Victorian Division); Liberal Party of Australia; ","4586556","3762280","0","0","0"
"2023-24","Curtin Independent Pty Ltd","","Katherine Ella Chaney; ","0","0","0","0","0"
"2023-24","Dame Pattie Menzies Liberal Foundation","","Liberal Party of Australia, NSW Division; ","0","351","0","0","0"
"2023-24","DICKSON DECIDES PTY LTD","","Ellie Smith; ","0","0","0","0","0"
"2023-24","Dunkley Blue Ribbon Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2023-24","Electrical Trades Union of Australia - Victoria Branch","","Australian Labor Party (Victorian Branch); ","16603541","17463742","155105","209468","0"
"2023-24","Electrical Trades Union of Australia NSW Branch","","Australian Labor Party (N.S.W. Branch); ","7745919","10914721","316750","0","0"
"2023-24","Electrical Trades Union of Employees Queensland","","Australian Labor Party (State of Queensland); Australian Labor Party (Northern Territory) Branch; ","3092825","3017454","3203524","0","0"
"2023-24","EMILY's List Australia","","Australian Labor Party (ALP); Australian Labor Party (Victorian Branch); ","202164","290603","29704","0","0"
"2023-24","Endeavour 270 Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2023-24","Enterprise Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2023-24","Erchana Murray-Bartlett Independent Pty Ltd","","Erchana Murray-Bartlett; ","0","0","0","0","0"
"2023-24","Finance Sector Union of Aust - QLD Branch","","Australian Labor Party (State of Queensland); ","0","0","0","0","0"
"2023-24","Finance Sector Union of Aust - SA/NT Branch","","Australian Labor Party (South Australian Branch); ","0","0","0","0","0"
"2023-24","Finance Sector Union of Australia","","Australian Labor Party (N.S.W. Branch); Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); Australian Labor Party (Western Australian Branch); Australian Labor Party (South Australian Branch); Australian Labor Party (State of Queensland); ","17044298","15059335","525572","0","0"
"2023-24","Finance Sector Union of Australia - NSW Branch","Finance Sector Union NSW/ACT Branch","Australian Labor Party (N.S.W. Branch); ","0","0","0","0","0"
"2023-24","Finance Sector Union of Australia - VIC/TAS Branch","","Australian Labor Party (Victorian Branch); ","0","0","0","0","0"
"2023-24","Finance Sector Union of Australia - WA Branch","","Australian Labor Party (Western Australian Branch); ","0","0","0","0","0"
"2023-24","FISHER COMMUNITY INDEPENDENT PTY LTD","","Keryn Jones; ","0","0","0","0","0"
"2023-24","Forest Hill Supporters' Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2023-24","Forrest Cattle Fund Inc","","Liberal Party (W.A. Division) Inc; ","0","0","0","0","0"
"2023-24","FORREST INDEPENDENT PTY LTD","","Sue Chapman; ","0","0","0","0","0"
"2023-24","FRANCINE FOR FAIRFAX PTY LTD","","Francine Wiig; ","0","0","0","0","0"
"2023-24","Gatenby Investment Fund","","Liberal Party of Australia - Tasmanian Division; ","239825","373823","880483","0","0"
"2023-24","Goulburn River & Ranges 200 Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2023-24","Health & Community Services Union Vic No. 2 HSU","","Australian Labor Party (Victorian Branch); ","7401398","6694930","458619","0","0"
"2023-24","Health Services Union NSW","","Australian Labor Party (N.S.W. Branch); ","29983581","28054072","488375","0","0"
"2023-24","Health Services Union of Victoria No.1 Branch","","Australian Labor Party (Victorian Branch); ","6767106","6326775","2394883","0","0"
"2023-24","Health Services Union SA Branch","","Australian Labor Party (South Australian Branch); ","1095439","986768","50766","0","0"
"2023-24","Higgins 200 Club","","Liberal Party of Australia (Victorian Division); ","36435","62932","0","0","0"
"2023-24","Higgins Foundation Ltd","","Liberal Party of Australia (Victorian Division); ","45131","9771","0","0","0"
"2023-24","Hilma's Network Foundation Limited","","Liberal National Party of Queensland; Liberal Party of Australia - ACT Division; Liberal Party of Australia (S.A. Division); Liberal Party of Australia, NSW Division; Liberal Party of Australia; Liberal Party of Australia (Victorian Division); ","171115","36085","0","0","0"
"2023-24","HOPE FOR MOORE PTY LTD","","Nathan Barton; ","0","0","0","0","0"
"2023-24","Hughes Independents Pty Ltd","","Georgia Steele; ","0","54","0","0","0"
"2023-24","Independent Calare Pty Ltd","","Kathleen Hook; ","12473","6106","0","0","0"
"2023-24","INDEPENDENT FARRER PTY LTD","","Michelle Milthorpe; ","0","0","0","0","0"
"2023-24","INDEPENDENT FOR FLINDERS PTY LTD","","Benjamin John Smith; ","0","0","0","0","0"
"2023-24","INDEPENDENT FOR GREY PTY LTD","","Anita Kuss; ","0","0","0","0","0"
"2023-24","Independent for South Coast Pty Ltd","","Katherine Louise Dezamaulds; ","0","0","0","0","0"
"2023-24","INDEPENDENT FOR STURT PTY LTD","","Verity Jane Cooper; ","0","0","0","0","0"
"2023-24","Independent Mackellar Pty Ltd","","Sophie Scamps; ","0","0","0","0","0"
"2023-24","Industrial Staff Union","","Australian Labor Party (N.S.W. Branch); ","0","0","0","0","0"
"2023-24","Jagajaga 200 Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2023-24","JINDEA PTY LTD","","Jess Ness; ","0","0","0","0","0"
"2023-24","John Curtin House Limited","","Australian Labor Party (ALP); ","1755935","1431439","5766","0","0"
"2023-24","John McEwen House Pty Ltd","JMH Fund Nominee Limited","National Party of Australia; ","599931","400956","0","0","0"
"2023-24","Kooyong 200 Club","","Liberal Party of Australia (Victorian Division); ","12627","79000","0","0","0"
"2023-24","L.P.A. Asset Management Ltd","","Liberal Party of Australia; ","0","0","0","0","0"
"2023-24","Labor Holdings Pty Ltd","","Australian Labor Party (State of Queensland); ","7158897","6196445","5080015","0","0"
"2023-24","Labor Services & Holding Pty Ltd ATF the Labor Services and Holding Trust","","Australian Labor Party (Victorian Branch); ","5265334","4841240","202642","0","0"
"2023-24","Laneway Assets Pty Ltd","","National Party of Australia; ","951440","904991","29343","0","0"
"2023-24","Laneway Assets Pty Ltd as Trustee for the National Policy Forum Trust","","National Party of Australia; ","1675725","1348113","29944","0","0"
"2023-24","LDP Administration Limited ","","Libertarian Party; Libertarian Party of Queensland; ","282860","310008","63711","0","0"
"2023-24","Liberal Asset Management (Custodians) Limited","","Liberal Party of Australia, NSW Division; ","207519","33350","17373","0","0"
"2023-24","Liberal Club Limited","","Liberal Party of Australia (S.A. Division); ","123923","84492","0","0","0"
"2023-24","Liberal Friends of Israel ","","Liberal Party of Australia (Victorian Division); ","20061","13449","0","0","0"
"2023-24","Liberal Properties Limited","","Liberal Party of Australia, NSW Division; ","355","383","0","0","0"
"2023-24","LNPQ Services Pty Ltd","","Liberal National Party of Queensland; ","168255","157750","55464","0","0"
"2023-24","LNPQ Services Pty Ltd ATF Ernst Reist Trust","","Liberal National Party of Queensland; ","0","120","0","0","0"
"2023-24","LPPH Pty Ltd","","Liberal Party (W.A. Division) Inc.; ","0","0","0","0","0"
"2023-24","Media Entertainment & Arts Alliance","Media Entertainment Arts & Alliance - VIC Branch; Media Entertainment ARts & Alliance - QLD Branch; Media Entertainment Arts & Alliance - SA Branch; Media Entertainment Arts & Alliance - WA Office; Media Entertainment & Arts Alliance NSW Branch","Australian Labor Party (N.S.W. Branch); ","14484295","13224824","376302","0","0"
"2023-24","Menzies 200 Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2023-24","Minority Impact Coalition Ltd","","QJ Collective Limited; ","0","0","0","0","0"
"2023-24","Monash Independent Pty Ltd","","Deborah Louise Leonard; ","0","0","0","0","0"
"2023-24","MONCRIEFF COMMUNITY INDEPENDENT PTY LTD","","Nicole Arrowsmith; ","0","0","0","0","0"
"2023-24","Mornington Gold","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2023-24","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union ","","Australian Labor Party (N.S.W. Branch); Australian Labor Party (ACT Branch); ","18687360","18407559","456445","0","0"
