"Financial Year","ClientFileId","Name","ABN","ACN","Total Expenditure","Electoral Expenditure Cat. 1","Electoral Expenditure Cat. 2","Electoral Expenditure Cat. 3","Electoral Expenditure Cat. 4","Electoral Expenditure Cat. 5","Total Gifts Received","ClientType"
"2018-19","37695","Fair Agenda","99166475903","","17413","N/A","N/A","N/A","N/A","N/A","20000","thirdparty"
"2018-19","38641","Farmers for Climate Action","56617941376 ","617 941 376","162973","N/A","N/A","N/A","N/A","N/A","448116","thirdparty"
"2018-19","40790","Gender Awareness Australia Ltd","53629535271","629 535 271","87454","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2018-19","30315","Greenpeace Australia Pacific Limited","61 002 643 852","002 643 852","219710","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2018-19","29623","Health Services Union, Tasmania Branch","80 085 253 953","","33000","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2018-19","40403","Independent Education Union of Australia","44401438657","","34740","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2018-19","36461","IR21 Ltd","98 106 441 463","106 441 463","16460","N/A","N/A","N/A","N/A","N/A","0","organisationdonor"
"2018-19","40965","John Crawford","","","129545","N/A","N/A","N/A","N/A","N/A","45000","thirdparty"
"2018-19","23060","Master Builders Australia Ltd","68137130182","137130182","445839","N/A","N/A","N/A","N/A","N/A","0","significantthirdparty"
"2018-19","37940","Melbourne Archdiocese Catholic Schools","85176448204","","0","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2018-19","40533","National Association for the Visual Arts Ltd","16003229285","003 229 285","130233","N/A","N/A","N/A","N/A","N/A","143257","thirdparty"
"2018-19","18764","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union ","","","23180","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2018-19","220","Queensland Nurses and Midwives' Union","","","150231","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2018-19","20649","Queensland Teachers Union","62 408 519 861","","414598","N/A","N/A","N/A","N/A","N/A","0","significantthirdparty"
"2018-19","40463","RITEON PTY LTD","91628539131","","20551","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2018-19","18784","Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW","75 536 906 383","","19919","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2018-19","18824","Shop Distributive & Allied Employees' Association NSW Branch","74 415 123 375","","17507","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2018-19","18776","Shop, Distributive and Allied Employees Association, South Australia","90 746 146 487","","36853","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2018-19","36762","Smart Energy Council","3200 6824 148","006824148","66135","N/A","N/A","N/A","N/A","N/A","0","organisationdonor"
"2018-19","21930","Tasmanian Chamber of Commerce and Industry","77 009 475 987","009 475 987","220629","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2018-19","19816","The Australian Workers' Union of Employees Queensland","54 942 536 069","","205180","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
